1;151;5;20/11/2018;58.289646
2;576;8;27/06/2018;58.289646
3;703;10;29/11/2018;58.289646
4;469;4;12/12/2018;58.289646
5;41;8;19/11/2018;58.289646
6;48;5;31/08/2018;58.289646
7;213;9;17/09/2018;58.289646
8;938;4;03/09/2018;58.289646
9;549;6;20/12/2018;58.289646
10;568;2;30/07/2018;58.289646
11;143;2;04/08/2018;58.289646
12;93;3;01/07/2018;58.289646
13;512;10;09/12/2018;58.289646
14;512;4;09/11/2018;58.289646
15;796;6;17/08/2018;58.289646
16;549;7;25/07/2018;58.289646
17;239;1;13/11/2018;58.289646
18;803;5;04/10/2018;58.289646
19;852;6;15/11/2018;58.289646
20;48;5;29/07/2018;58.289646
21;399;2;06/12/2018;58.289646
22;71;2;03/12/2018;58.289646
23;872;3;12/11/2018;58.289646
24;896;1;21/12/2018;58.289646
25;239;9;24/06/2018;58.289646
26;220;4;18/06/2018;58.289646
27;48;8;04/08/2018;58.289646
28;213;1;21/09/2018;58.289646
29;143;8;12/10/2018;58.289646
30;256;3;28/06/2018;58.289646
31;32;8;10/10/2018;58.289646
32;881;10;08/10/2018;58.289646
33;432;5;07/09/2018;58.289646
34;576;3;17/11/2018;58.289646
35;576;3;26/09/2018;58.289646
36;563;6;10/11/2018;58.289646
37;179;10;13/12/2018;58.289646
38;179;9;01/08/2018;58.289646
39;703;5;16/07/2018;58.289646
40;905;8;04/07/2018;58.289646
41;312;4;19/11/2018;58.289646
42;819;10;27/09/2018;58.289646
43;244;5;25/08/2018;58.289646
44;101;5;17/12/2018;58.289646
45;93;7;11/12/2018;58.289646
46;221;9;11/07/2018;58.289646
47;331;10;23/06/2018;58.289646
48;32;6;30/07/2018;58.289646
49;348;1;30/09/2018;58.289646
50;180;2;04/09/2018;58.289646
51;877;9;28/09/2018;58.289646
52;402;1;26/11/2018;58.289646
53;221;8;14/09/2018;58.289646
54;41;6;17/09/2018;58.289646
55;402;3;08/11/2018;58.289646
56;905;2;31/07/2018;58.289646
57;402;4;15/06/2018;58.289646
58;772;10;20/12/2018;58.289646
59;563;8;05/10/2018;58.289646
60;395;9;23/07/2018;58.289646
61;395;10;09/06/2018;58.289646
62;215;6;15/11/2018;58.289646
