3874;11;5;07/01/2018;0.0;[]
4395;11;10;10/02/2018;0.0;[]
4369;11;6;11/02/2018;0.0;[]
6310;11;10;12/03/2018;0.0;[]
7639;11;10;07/04/2018;0.0;[]
9849;11;3;08/04/2018;0.0;[]
355;11;1;07/05/2018;0.0;[]
4675;11;6;10/05/2018;0.0;[]
7370;11;4;11/05/2018;0.0;[]
7535;11;4;07/06/2018;0.0;[]
6154;11;7;09/06/2018;0.0;[]
3212;11;10;06/07/2018;0.0;[]
4718;11;10;07/07/2018;0.0;[]
2717;11;5;08/07/2018;0.0;[]
4479;11;3;09/07/2018;0.0;[]
3866;11;5;11/07/2018;0.0;[]
2248;11;8;06/08/2018;0.0;[]
4196;11;10;07/08/2018;0.0;[]
9416;11;7;06/09/2018;0.0;[]
167;11;5;08/09/2018;0.0;[]
1272;11;3;10/09/2018;0.0;[]
4174;11;6;11/09/2018;0.0;[]
1026;11;1;10/10/2018;0.0;[]
4408;11;6;06/11/2018;0.0;[]
6634;11;3;09/11/2018;0.0;[]
3406;11;3;10/11/2018;0.0;[]
6060;11;1;06/12/2018;0.0;[]
8690;11;5;07/12/2018;0.0;[]
3565;11;7;08/12/2018;0.0;[]
1175;11;9;09/12/2018;0.0;[]
4079;11;3;06/01/2019;0.0;[]
4803;11;7;08/01/2019;0.0;[]
4459;11;3;10/01/2019;0.0;[]
1658;11;9;11/01/2019;0.0;[]
6590;11;7;12/01/2019;0.0;[]
2359;11;6;07/02/2019;0.0;[]
7385;11;4;09/02/2019;0.0;[]
3570;11;1;10/02/2019;0.0;[]
8392;11;10;11/02/2019;0.0;[]
9009;11;4;12/02/2019;0.0;[]
5182;11;9;11/03/2019;0.0;[]
2032;11;6;08/04/2019;0.0;[]
2821;11;7;10/04/2019;0.0;[]
8571;11;9;11/04/2019;0.0;[]
596;11;2;06/05/2019;0.0;[]
1463;11;4;09/05/2019;0.0;[]
2863;11;10;06/06/2019;0.0;[]
6288;11;5;07/06/2019;0.0;[]
6696;11;3;08/06/2019;0.0;[]
8000;11;9;09/06/2019;0.0;[]
7773;11;2;10/06/2019;0.0;[]
6936;11;10;06/07/2019;0.0;[]
5394;11;2;10/07/2019;0.0;[]
5116;11;8;07/08/2019;0.0;[]
587;11;7;09/08/2019;0.0;[]
6509;11;8;10/08/2019;0.0;[]
2828;11;5;11/08/2019;0.0;[]
4147;11;5;12/08/2019;0.0;[]
4789;11;2;06/09/2019;0.0;[]
7826;11;4;09/09/2019;0.0;[]
9618;11;4;08/10/2019;0.0;[]
7803;11;5;09/10/2019;0.0;[]
2328;11;6;11/10/2019;0.0;[]
3919;11;5;07/11/2019;0.0;[]
7006;11;9;09/11/2019;0.0;[]
2133;11;6;10/11/2019;0.0;[]
9559;11;7;11/11/2019;0.0;[]
3797;11;9;06/01/2020;0.0;[]
8865;11;9;07/01/2020;0.0;[]
6493;11;10;06/02/2020;0.0;[]
838;11;5;09/02/2020;0.0;[]
8012;11;1;07/03/2020;0.0;[]
4061;11;9;08/03/2020;0.0;[]
4257;11;10;11/03/2020;0.0;[]
9713;11;1;06/04/2020;0.0;[]
9689;11;6;07/04/2020;0.0;[]
1241;11;1;08/04/2020;0.0;[]
2109;11;8;06/05/2020;0.0;[]
7521;11;9;07/05/2020;0.0;[]
9626;11;5;08/05/2020;0.0;[]
6043;11;9;09/05/2020;0.0;[]
4326;11;1;10/05/2020;0.0;[]
1877;11;9;06/06/2020;0.0;[]
5439;11;4;07/06/2020;0.0;[]
3129;11;2;08/06/2020;0.0;[]
3419;11;9;09/06/2020;0.0;[]
6491;11;3;10/06/2020;0.0;[]
2322;11;8;11/06/2020;0.0;[]
7810;11;5;08/07/2020;0.0;[]
2799;11;5;10/07/2020;0.0;[]
8618;20;2;07/01/2018;0.0;[]
8347;20;2;12/01/2018;0.0;[]
3003;20;5;07/02/2018;0.0;[]
8325;20;2;10/02/2018;0.0;[]
1701;20;8;12/02/2018;0.0;[]
1790;20;3;07/03/2018;0.0;[]
618;20;9;11/03/2018;0.0;[]
4742;20;5;07/04/2018;0.0;[]
